,Id,Title,Ww_gross,Dom_gross,Fore_gross,Year,Descriptions,Rating_cnt,Best_rating,Worst_rating,Rating_value,Content_rating,Release,Keywords,Runtime,Genre1,Genre2,Genre3,Actor1,Actor2,Actor3,Director1,Director2,Director3,Creator1,Creator2,Creator3
209,tt1217209,Brave,538983207,237283207,301700000,2012,""": ""Determined to make her own path in life, Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse."",
  ",423611,10,1,7.1,PG,2012-06-19," princess,mother daughter relationship,archery,female warrior,witch",1H33M,"""Animation""","""Adventure""","""Comedy""","""KellyMacdonald""","""BillyConnolly""","""EmmaThompson""","""MarkAndrews""","""BrendaChapman""","""StevePurcell""","""BrendaChapman""","""MarkAndrews""","""StevePurcell"""
210,tt0080684,Star Wars: Episode V - The Empire Strikes Back,538375067,292753960,245621107,1980,""": ""After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."",
  ",1321046,10,1,8.7,PG,1980-06-18," famous twist,part of trilogy,the force,duel,rescue",2H4M,"""Action""","""Adventure""","""Fantasy""","""MarkHamill""","""HarrisonFord""","""CarrieFisher""","""IrvinKershner""",,,"""LeighBrackett""","""LawrenceKasdan""","""GeorgeLucas"""
211,tt0462538,The Simpsons Movie,536414293,183135014,353279279,2007,""": ""After Homer pollutes the town&apos;s water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives."",
  ",338792,10,1,7.3,PG-13,2007-07-27," the simpsons,pig,lake,dome,adult animation",1H27M,"""Animation""","""Adventure""","""Comedy""","""DanCastellaneta""","""JulieKavner""","""NancyCartwright""","""DavidSilverman""",,,"""JamesL.Brooks""","""MattGroening""","""AlJean"""
212,tt1663202,The Revenant,532950503,183637894,349312609,2015,""": ""A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team."",
  ",827814,10,1,8.0,R,2016-01-08," survival,bear attack,left to die,fur,wilderness",2H36M,"""Action""","""Adventure""","""Drama""","""LeonardoDiCaprio""","""TomHardy""","""WillPoulter""","""AlejandroG.I\\u00f1\\u00e1rritu""",,,"""MarkL.Smith""","""AlejandroG.I\\u00f1\\u00e1rritu""","""MichaelPunke"""
213,tt4779682,The Meg,530517320,145522784,384994536,2018,""": null,
  ",180364,10,1,5.6,PG-13,2018-08-10," prehistoric animal,creature feature,giant shark,shark,megalodon",1H53M,"""Action""","""Horror""","""Sci-Fi""","""JasonStatham""","""BingbingLi""","""RainnWilson""","""JonTurteltaub""",,,"""DeanGeorgaris""","""JonHoeber""","""ErichHoeber"""
214,tt5848272,Ralph Breaks the Internet,529323962,201091711,328232251,2018,""": null,
  ",169886,10,1,7.0,PG,2018-11-23," wifi,internet,scene after end credits,reference to rick astley,sequel",1H52M,"""Animation""","""Adventure""","""Comedy""","""JohnC.Reilly""","""SarahSilverman""","""GalGadot""","""PhilJohnston""","""RichMoore""",,"""PhilJohnston""","""PamelaRibon""","""RichMoore"""
215,tt5220122,Hotel Transylvania 3: Summer Vacation,528583774,167510016,361073758,2018,""": null,
  ",78835,10,1,6.3,PG,2018-07-13," witch,train,pet,dragon,dog",1H37M,"""Animation""","""Adventure""","""Comedy""","""AdamSandler""","""AndySamberg""","""SelenaGomez""","""GenndyTartakovsky""",,,"""GenndyTartakovsky""","""MichaelMcCullers""",
216,tt3874544,The Boss Baby,527965936,175003033,352962903,2017,""": null,
  ",133140,10,1,6.3,PG,2017-03-31," baby,brother brother relationship,talking baby,close up of eye,puppy",1H37M,"""Animation""","""Adventure""","""Comedy""","""AlecBaldwin""","""SteveBuscemi""","""JimmyKimmel""","""TomMcGrath""",,,"""MichaelMcCullers""","""MarlaFrazee""",
217,tt5013056,Dunkirk,527016307,189740665,337275642,2017,""": ""Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II."",
  ",682343,10,1,7.8,PG-13,2017-07-21," world war two,1940s,soldier,evacuation,beach",1H46M,"""Action""","""Drama""","""History""","""FionnWhitehead""","""BarryKeoghan""","""MarkRylance""","""ChristopherNolan""",,,"""ChristopherNolan""",,
218,tt2709692,The Grinch,526760632,271384731,255375901,2018,""": null,
  ",78021,10,1,6.4,PG,2018-11-09," dr. seuss&apos; how the grinch stole christmas,christmas,3d animation,computer animation,christmas movie",1H25M,"""Animation""","""Comedy""","""Family""","""BenedictCumberbatch""","""CameronSeely""","""RashidaJones""","""YarrowCheney""","""ScottMosier""",,"""MichaelLeSieur""","""TommySwerdlow""","""Dr.Seuss"""
